area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Whitefield,2 BHK,1173,2.0,1.0,58.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,64.0
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,1200,2.0,0.0,79.0
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,1230,2.0,3.0,48.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325,2.0,2.0,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,1.0,150.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,2.0,2.0,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2.0,2.0,65.0
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,1350,2.0,0.0,140.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,1260,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800,3.0,0.0,150.0
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,11,3.0,2.0,74.0
Built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2.0,1.0,43.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,1508,2.0,1.0,77.0
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388,2.0,3.0,57.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1.0,1.0,28.35
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,1762,3.0,1.0,125.0
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,950,2.0,2.0,50.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1116,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2.0,2.0,89.04
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,1200,3.0,0.0,90.0
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,500,1.0,1.0,18.5
Super built-up  Area,Ready To Move,Hennur,2 BHK,1075,2.0,1.0,52.0
Super built-up  Area,18-Mar,Chandapura,1 BHK,530,1.0,0.0,11.66
Built-up  Area,Ready To Move,Bellandur,2 BHK,1205,2.0,3.0,66.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2.0,2.0,60.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,930,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1380,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483,5.0,2.0,212.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,1166,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1050,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1600,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,1935,3.0,2.0,110.0
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451,1.0,0.0,29.9
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800,3.0,2.0,95.0
Super built-up  Area,18-May,Jalahalli,3 BHK,1400,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801,3.0,2.0,115.0
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,1451,2.0,2.0,90.0
Plot  Area,19-Jan,Anekal,2 Bedroom,1200,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,44.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,1000,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,40.0
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,1629,3.0,2.0,79.0
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,1580,2.0,0.0,134.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1826,3.0,2.0,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2.0,1.0,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1145,2.0,2.0,45.79
Super built-up  Area,Ready To Move,Sompura,2 BHK,825,2.0,1.0,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,1693,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,1460,2.0,1.0,58.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050,2.0,1.0,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260,2.0,2.0,55.0
Super built-up  Area,Ready To Move,K N Extension,6 BHK,700,3.0,2.0,120.0
Built-up  Area,Ready To Move,Hosur Road,2 BHK,1656,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1208,3.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910,3.0,2.0,161.0
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,1200,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,1200,4.0,1.0,175.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2.0,1.0,82.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1000,2.0,0.0,165.0
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,1200,2.0,0.0,125.0
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,550,1.0,1.0,62.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,34.46Sq. Meter,1.0,0.0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,1185,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,64.5
Built-up  Area,Ready To Move,Amco Colony,3 BHK,1760,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125,2.0,2.0,62.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1350,3.0,2.0,150.0
Plot  Area,17-Dec,Anandapura,2 Bedroom,1000,2.0,1.0,55.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1090,2.0,2.0,31.48
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4.0,2.0,103.0
Super built-up  Area,18-Oct,Bommasandra,2 BHK,1060,2.0,1.0,26.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1105,2.0,1.0,75.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,985,2.0,2.0,67.0
Plot  Area,Ready To Move,Chandapura,6 Bedroom,1533,5.0,3.0,85.0
Super built-up  Area,17-Jul,Balagere,3 BHK,1590,3.0,2.0,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1120,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,1069,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1933,3.0,2.0,140.0
Built-up  Area,16-Mar,Hosur Road,2 BHK,1194,2.0,0.0,69.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1150,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1240,2.0,2.0,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419,2.0,2.0,48.1
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1450,3.0,2.0,55.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,1630,3.0,2.0,68.29
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708,1.0,1.0,40.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4.0,3.0,110.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1250,2.0,1.0,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1670,2.0,3.0,57.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2.0,2.0,95.0
Built-up  Area,18-Apr,Electronic City,1 BHK,630,1.0,1.0,34.65
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1650,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,1.0,55.47
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,1346,2.0,1.0,74.03
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,1200,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2.0,2.0,55.0
Super built-up  Area,18-May,Chandapura,3 BHK,1190,2.0,2.0,30.35
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1620,3.0,2.0,98.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,950,2.0,1.0,46.96
Super built-up  Area,Ready To Move,Harlur,3 BHK,2450,3.0,0.0,120.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1220,2.0,1.0,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,850,2.0,1.0,30.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1020,2.0,2.0,63.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,1150,2.0,2.0,126.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1760,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1800,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1070,2.0,1.0,54.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,4.0,2.0,220.0
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,1440,2.0,0.0,95.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,900,2.0,1.0,40.0
Super built-up  Area,18-May,Whitefield,2 BHK,1130,2.0,1.0,42.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1320,2.0,1.0,165.0
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,1270,2.0,1.0,98.0
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,1200,2.0,1.0,62.0
Super built-up  Area,Ready To Move,NS Palya,2 BHK,1200,2.0,1.0,74.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,0.0,50.17
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,1125,4.0,3.0,180.0
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,500,3.0,2.0,65.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,1200,5.0,2.0,190.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,56.0
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,2000,4.0,2.0,99.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1208,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1130,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1753,3.0,2.0,120.0
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,600,3.0,2.0,58.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,1196,2.0,2.0,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150,3.0,3.0,52.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,1000,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1035,2.0,1.0,45.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,950,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1040,2.0,1.0,48.5
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,720,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1511,3.0,1.0,95.0
Built-up  Area,Ready To Move,Silk Board,3 BHK,1300,3.0,1.0,58.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,1545,3.0,1.0,68.75
Built-up  Area,Ready To Move,Shampura,1 BHK,375,2.0,0.0,26.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1062,2.0,3.0,38.0
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,1115,2.0,1.0,40.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1000,2.0,1.0,35.0
Super built-up  Area,17-May,Kambipura,2 BHK,883,2.0,1.0,45.0
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,1195,2.0,1.0,70.0
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,1200,3.0,1.0,165.0
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,700,1.0,0.0,41.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2.0,1.0,67.0
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,660,4.0,2.0,90.0
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,8500,4.0,2.0,145.0
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,1600,4.0,1.0,80.0
Super built-up  Area,18-Dec,Haralur Road,4 BHK,2805,5.0,3.0,154.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1584,3.0,2.0,65.0
Built-up  Area,Ready To Move,Hosur Road,3 BHK,1175,2.0,2.0,48.0
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,1595,3.0,2.0,115.0
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,1353,2.0,2.0,110.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,1599,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2.0,1.0,70.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1155,2.0,2.0,42.74
Built-up  Area,Ready To Move,Ittamadu,1 BHK,1200,2.0,0.0,85.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1000,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,3000,4.0,2.0,120.0
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,1867,3.0,1.0,160.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1251,2.0,1.0,47.0
Super built-up  Area,18-Apr,Gattahalli,2 BHK,1028,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Arekere,2 BHK,1222,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1170,2.0,1.0,66.0
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,1385,2.0,2.0,48.48
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,1282,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,5000,9.0,3.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135,2.0,1.0,39.73
Built-up  Area,20-Dec,Whitefield,3 BHK,1768,3.0,2.0,101.0
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1325,2.0,1.0,90.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,1599,3.0,2.0,99.0
Plot  Area,18-Mar,Whitefield,3 Bedroom,1500,3.0,1.0,61.95
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1286,2.0,2.0,63.0
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,2845,5.0,1.0,140.0
Super built-up  Area,Ready To Move,K G Colony,3 BHK,1600,2.0,2.0,50.0
Super built-up  Area,18-Sep,Hennur Road,2 BHK,1195 - 1440,2.0,0.0,63.77
Super built-up  Area,18-Apr,Munnekollal,2 BHK,1102,2.0,2.0,53.67
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1350,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1200,2.0,2.0,42.0
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,1300,6.0,0.0,145.0
Plot  Area,Ready To Move,Herohalli,2 Bedroom,1800,1.0,1.0,80.0
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,950,2.0,1.0,40.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,27.25
Built-up  Area,Ready To Move,Attibele,2 BHK,656,2.0,1.0,25.0
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,1780,4.0,3.0,175.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1056,2.0,1.0,80.0
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,595,1.0,1.0,33.32
Built-up  Area,Ready To Move,Ittamadu,2 BHK,1080,2.0,2.0,50.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225,3.0,1.0,160.0
Super built-up  Area,18-Aug,Bommasandra,2 BHK,1126,2.0,1.0,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3.0,1.0,84.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1550,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1600,3.0,2.0,86.0
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,1160,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2100,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,2230,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,1544,3.0,2.0,120.0
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,1305,2.0,1.0,58.7
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1230,2.0,2.0,80.0
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,1200,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1460,3.0,1.0,73.0
Plot  Area,Immediate Possession,Sarjapur  Road,2 BHK,1200 - 2400,2.0,2.0,34.185
Built-up  Area,Ready To Move,Gottigere,2 BHK,967,2.0,3.0,45.0
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,540,1.0,1.0,36.0
Super built-up  Area,19-Dec,Hormavu,1 BHK,715,1.0,2.0,46.0
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1578,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1020,2.0,1.0,48.95
Super built-up  Area,Ready To Move,Jigani,2 BHK,1020,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1253,2.0,1.0,102.0
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,1180,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,961,2.0,2.0,38.0
Built-up  Area,Ready To Move,Kanakapura,3 BHK,1419,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1709,3.0,2.0,150.0
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,1600,2.0,0.0,115.0
Super built-up  Area,18-Jul,Venkatapura,1 BHK,416,1.0,1.0,18.5
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,1100,2.0,2.0,98.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1430,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,1260,2.0,2.0,45.0
Built-up  Area,Ready To Move,RMV Extension,3 BHK,1630,3.0,2.0,85.0
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,1249,3.0,2.0,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1450,2.0,3.0,85.0
Super built-up  Area,17-Nov,Konanakunte,3 BHK,2791,3.0,1.0,223.0
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,600,1.0,0.0,90.0
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,834,1.0,1.0,60.0
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,1125,4.0,1.0,70.0
Super built-up  Area,Ready To Move,Arekere,3 BHK,2060,3.0,2.0,140.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,891,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1133,2.0,1.0,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,37.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1200,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1075,2.0,2.0,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1140,2.0,2.0,40.0
Plot  Area,Ready To Move,Margondanahalli,5 Bedroom,940,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1090,2.0,1.0,42.0
Built-up  Area,Ready To Move,R.T. Nagar,4 Bedroom,1500,4.0,1.0,70.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1790,3.0,2.0,100.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1920,3.0,2.0,134.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,1374,2.0,2.0,95.0
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,1445,3.0,2.0,95.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,711,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1500,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1720,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Vasanthapura,3 BHK,1400,3.0,2.0,60.0
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,1030,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1200,2.0,1.0,85.0
Carpet  Area,18-Jul,Hosahalli,3 BHK,1375,3.0,2.0,70.0
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,1050,1.0,2.0,56.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,2250,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1000,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,469,1.0,0.0,25.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,29.0
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,1820,2.0,3.0,86.0
Built-up  Area,Ready To Move,Singasandra,3 BHK,1440,2.0,3.0,65.0
Super built-up  Area,Ready To Move,near Ramanashree California resort,6 BHK,3600,4.0,1.0,160.0
Super built-up  Area,18-Aug,Mahadevpura,2 BHK,1225,2.0,2.0,48.0
Carpet  Area,Ready To Move,Chikkalasandra,2 BHK,875,2.0,3.0,52.8
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,750,1.0,2.0,40.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1180,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1500,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2 BHK,1160,2.0,2.0,52.2
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1128,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1500,3.0,1.0,150.0
Built-up  Area,18-Aug,Huskur,3 BHK,1220,2.0,1.0,35.23
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1210,2.0,2.0,58.0
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,1100,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,1200,3.0,2.0,46.0
Super built-up  Area,Ready To Move,Nagondanahalli,3 BHK,1641,3.0,2.0,66.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1200,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1260,2.0,1.0,67.39
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1720,3.0,3.0,78.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1120 - 1145,2.0,0.0,48.13
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1210,2.0,1.0,45.98
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,2200,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,45.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1702,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,1630,2.0,2.0,200.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1141,2.0,2.0,38.55
Super built-up  Area,18-Apr,Shantiniketan Layout,3 BHK,2072,3.0,2.0,108.0
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,1200,2.0,0.0,70.0
Super built-up  Area,Ready To Move,Teachers Colony,3 BHK,1350,3.0,0.0,77.0
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,1180,2.0,2.0,78.34
Built-up  Area,Ready To Move,Yelahanka,3 BHK,35000,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Langford Town,2 BHK,1355,2.0,2.0,115.0
Plot  Area,Ready To Move,Sulthangunta,1 Bedroom,600,1.0,0.0,50.0
Plot  Area,Ready To Move,Hormavu,7 Bedroom,1200,7.0,2.0,150.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1640,2.0,1.0,120.0
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,1200,5.0,0.0,100.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,1190,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1019,2.0,2.0,49.85
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,1875,3.0,2.0,165.0
Super built-up  Area,18-May,Akshaya Nagar,3 BHK,1250,3.0,2.0,40.0
Plot  Area,Ready To Move,Brookefield,3 Bedroom,1200,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1683,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1515,3.0,2.0,83.3
Super built-up  Area,19-Dec,Hoodi,4 BHK,2118,4.0,2.0,111.0
